"gauge_code","nome","estado","lat","long","time_step","network","n_years_zip"
"16661000","Oriximiná","PA",-1.3706,-56.8519,15,"Telemetria",2
"16800000","Oriximiná","PA",-1.1014,-56.04,15,"Telemetria",2
"170210901A","Araguaína","TO",-7.187547,-48.235274,10,"CEMADEN",4
"170210902A","Araguaína","TO",-7.1558720000000005,-48.188802,10,"CEMADEN",1
"170210903A","Araguaína","TO",-7.19408,-48.195859,10,"CEMADEN",4
"170210904A","Araguaína","TO",-7.228059,-48.244605,10,"CEMADEN",1
"170215801A","Araguanã","TO",-6.582260000000001,-48.643679999999996,10,"CEMADEN",1
"170220801A","Araguatins","TO",-5.657617,-48.111465,10,"CEMADEN",3
"17050001","Óbidos","PA",-1.9192,-55.5131,15,"Telemetria",3
"170730601A","Dueré","TO",-11.34296,-49.26664,10,"CEMADEN",3
"170820501A","Formoso do Araguaia","TO",-11.8055,-49.5275,10,"CEMADEN",3
"170900501A","Goiatins","TO",-7.712945,-47.309304,10,"CEMADEN",1
"17090600","Sapezal","MT",-13.5425,-59.025,30,"Telemetria",4
"17091030","Campos de Júlio","MT",-13.4228,-59.0014,30,"Telemetria",3
"17091045","Campos de Júlio","MT",-13.3689,-59.0147,60,"Telemetria",1
"17091048","Sapezal","MT",-13.2661,-59.0183,60,"Telemetria",1
"17091090","Sapezal","MT",-13.1972,-58.9831,30,"Telemetria",2
"17091095","Campos de Júlio","MT",-13.0719,-58.9764,60,"Telemetria",1
"17091097","Campos de Júlio","MT",-12.9,-58.9136,60,"Telemetria",2
"17091099","Campos de Júlio","MT",-12.845,-58.9292,60,"Telemetria",1
"17091150","Campos de Júlio","MT",-13.3783,-59.1464,30,"Telemetria",1
"17091170","Campos de Júlio","MT",-13.3489,-59.1508,30,"Telemetria",3
"17091180","Sapezal","MT",-13.6317,-58.6642,60,"Telemetria",1
"17091200","Sapezal","MT",-13.42,-58.6047,60,"Telemetria",1
"17091210","Campos de Júlio","MT",-13.4572,-59.3903,60,"Telemetria",1
"17091310","Campos de Júlio","MT",-13.3856,-59.3922,60,"Telemetria",5
"17091400","Sapezal","MT",-13.3947,-58.5919,60,"Telemetria",2
"17091410","Campos de Júlio","MT",-13.3617,-59.395,60,"Telemetria",4
"17091450","Sapezal","MT",-13.545,-58.6372,15,"Telemetria",1
"17091580","Brasnorte","MT",-13.2925,-58.1347,60,"Telemetria",2
"17091600","Brasnorte","MT",-13.0258,-58.1844,60,"Telemetria",4
"17092850","Brasnorte","MT",-12.96,-58.2508,60,"Telemetria",1
"17092960","Campo Novo do Parecis","MT",-12.7983,-58.3969,15,"Telemetria",2
"17093010","Juína","MT",-11.3564,-58.3536,15,"Telemetria",5
"17093400","Campo Novo do Parecis","MT",-13.8622,-57.7856,60,"Telemetria",1
"17093700","Campo Novo do Parecis","MT",-13.3867,-57.6244,60,"Telemetria",1
"17093750","Nova Maringá","MT",-13.3556,-57.6136,60,"Telemetria",1
