"gauge_code","estado","n_anos_aceitos","na_mediano_pct","na_max_pct"
"330340121A","RJ",1,2.3573059360730597,2.3573059360730597
"330340123A","RJ",1,0.020928462709284626,0.020928462709284626
"330350010A","RJ",1,1.2503794778384942,1.2503794778384942
"330370803A","RJ",1,1.8550228310502281,1.8550228310502281
"330390602A","RJ",2,0.8076198110304331,1.5943683409436835
"330390609A","RJ",2,5.477549467275495,8.963089802130899
"330390612A","RJ",1,2.2697869101978694,2.2697869101978694
"330390613A","RJ",2,0.8913622526636226,1.7617960426179604
"330390615A","RJ",1,0.020928462709284626,0.020928462709284626
"330390617A","RJ",2,4.6293385233425655,8.08287795992714
"330390622A","RJ",3,1.3165905631659056,3.4018264840182644
"330390626A","RJ",1,0.8276255707762556,0.8276255707762556
"330390628A","RJ",2,0.8076198110304331,1.5943683409436835
"330390629A","RJ",1,0.020928462709284626,0.020928462709284626
"330395501A","RJ",4,4.819254185692542,9.16249241044323
"330400302A","RJ",3,6.364155251141552,9.158697632058288
"330411001A","RJ",4,2.0795281582952816,6.716757741347905
"330414403A","RJ",5,3.3333333333333335,11.549408014571949
"330414404A","RJ",1,0.020928462709284626,0.020928462709284626
"330414405A","RJ",5,1.600076103500761,2.648755312689739
"330414406A","RJ",4,1.8835616438356164,10.678506375227686
"330420102A","RJ",3,1.9691780821917808,6.534608378870674
"330420118H","RJ",2,3.764269406392694,6.8112633181126325
"330430001A","RJ",4,4.640410958904109,8.534456587735276
"330430005A","RJ",5,3.732876712328767,8.5724043715847
"330440901A","RJ",2,2.17941400304414,2.713089802130898
"330440904A","RJ",2,1.5233592002062697,1.8366727383120827
"330455703A","RJ",5,4.93531202435312,10.261080752884032
"330455704A","RJ",2,2.0976027397260273,3.559741248097412
"330455710A","RJ",3,0.8770928462709284,4.69558599695586
"330455711A","RJ",6,3.8784246575342465,7.204386763812994
"330455712A","RJ",2,4.94482496194825,9.343607305936073
"330455713A","RJ",4,0.9370243531202435,4.71841704718417
"330455715A","RJ",1,0.671613394216134,0.671613394216134
"330455716A","RJ",3,1.0312024353120244,4.57572298325723
"330455718A","RJ",4,2.8291476407914766,4.866803278688525
"330455719A","RJ",5,2.1689497716894977,4.754857316332727
"330455720A","RJ",3,0.669710806697108,4.657534246575342
"330455721A","RJ",5,4.701293759512938,7.756527018822101
"330455722A","RJ",2,0.3158295281582953,0.610730593607306
