"gauge_code","d","imax","date","wateryear","start_month","na_prct_yr","na_prct_mon","mon_filter","n_max","time_step_min","estado","lat","long","time_step","mes_inicio","mes_inicio_nome","network","classe_espacial","fonte_inicio","metodo_ano_hidro","f_moda","rbar_local","dist_nn_km"
"13470000",15,6.866666666666668,"2018-02-16 23:45:00",2018,7,0.0254851598173516,0.0018601190476190475,"1,2,3,4,5,6,7,8,9,10,11,12",32,900,"AC",-11.0178,-68.745,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.27
"13470000",15,8.480000000000006,"2018-11-24 17:45:00",2019,7,0.003310502283105023,0.0020833333333333333,"1,2,3,4,5,6,7,8,9,10,11,12",2,900,"AC",-11.0178,-68.745,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.27
"13470000",15,8.173333333333334,"2019-12-12 21:30:00",2020,7,0.003509963768115942,0,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-11.0178,-68.745,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.27
"13540000",15,3.826666666666667,"2014-02-10 08:00:00",2014,7,0.006157918968692449,0.0011160714285714285,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
"13540000",15,7.546666666666667,"2014-10-01 09:45:00",2015,7,0.4965753424657534,0.008064516129032258,"1,2,3,4,5,6,7,8,9,10,11,12",53,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
"13540000",15,NA,NA,2016,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
"13540000",15,2.986666666666667,"2017-03-24 12:30:00",2017,7,0.569263698630137,0.023521505376344086,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
"13540000",15,7.520000000000004,"2017-12-18 18:45:00",2018,7,0.5056506849315069,0.007056451612903226,"1,2,3,4,5,6,7,8,9,10,11,12",17,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
"13540000",15,NA,NA,2019,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
"13540000",15,NA,NA,2020,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
"13540000",15,NA,NA,2021,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-10.5606,-68.7047,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,24.1
