"gauge_code","estado","lat","long","time_step","network","classe_espacial","mes_inicio","fonte_inicio","mes_moda","f_moda","rbar_local","dist_nn_km","nome","n_years_zip","responsible","mes_inicio_nome","metodo_ano_hidro"
"270830301A","AL",-9.007,-36.055,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,0.53,"São José da Laje",4,"CEMADEN","nov","uniplu_vizinhanca"
"270840201C","AL",-9.53655,-37.36453,10,"CEMADEN","mancha",9,"moda_mancha",9,0.4,0.846,9.02,"São José da Tapera",2,"CEMADEN","set","uniplu_vizinhanca"
"270860001A","AL",-9.777959,-36.102408,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,0.65,"São Miguel dos Campos",3,"CEMADEN","nov","uniplu_vizinhanca"
"270860002A","AL",-9.799785,-36.104092,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,1.89,"São Miguel dos Campos",6,"CEMADEN","nov","uniplu_vizinhanca"
"270890701A","AL",-9.574,-35.824,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,1.31,"Satuba",8,"CEMADEN","nov","uniplu_vizinhanca"
"270930101A","AL",-9.161,-36.032,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,0.85,"União dos Palmares",2,"CEMADEN","nov","uniplu_vizinhanca"
"270930102A","AL",-9.152,-36.016,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,2.21,"União dos Palmares",3,"CEMADEN","nov","uniplu_vizinhanca"
"270930103A","AL",-9.134,-36.052,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,2.89,"União dos Palmares",5,"CEMADEN","nov","uniplu_vizinhanca"
"270940001A","AL",-9.373764,-36.240199,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,1.17,"Viçosa",6,"CEMADEN","nov","uniplu_vizinhanca"
"27110000","TO",-9.5003,-49.9831,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.9,0.988,25.7,"Caseara",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"27300900","TO",-9.1261,-49.7431,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.9,0.988,28.79,"Caseara",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"27320000","TO",-8.8033,-49.555,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.9,0.988,0.14,"Araguacema",3,"TELEMETRIA","jul","uniplu_vizinhanca"
"27380120","TO",-9.1517,-49.3931,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.9,0.988,38.34,"Dois Irmãos do Tocantins",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"27490000","PA",-8.3611,-49.2775,60,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,11.42,"Conceição do Araguaia",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"27500000","PA",-8.2694,-49.2594,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,1.24,"Conceição do Araguaia",6,"TELEMETRIA","jul","uniplu_vizinhanca"
"280020901C","SE",-10.2284,-37.02804,10,"CEMADEN","mancha",10,"moda_mancha",10,0.4,0.914,4.29,"Aquidabã",2,"CEMADEN","out","uniplu_vizinhanca"
"280030801A","SE",-10.88087,-37.05318,10,"CEMADEN","mancha",11,"moda_mancha",11,1,1,2.15,"Aracaju",7,"CEMADEN","nov","uniplu_vizinhanca"
"280030802A","SE",-10.94779,-37.07414,10,"CEMADEN","mancha",11,"moda_mancha",11,1,1,2.69,"Aracaju",7,"CEMADEN","nov","uniplu_vizinhanca"
"280030803A","SE",-10.92109,-37.09531,10,"CEMADEN","mancha",11,"moda_mancha",11,1,1,5.55,"Aracaju",7,"CEMADEN","nov","uniplu_vizinhanca"
"280030804A","SE",-10.88691,-37.05567,10,"CEMADEN","mancha",11,"moda_mancha",11,1,1,1.58,"Aracaju",3,"CEMADEN","nov","uniplu_vizinhanca"
"280110801C","SE",-10.14392,-37.033384999999996,10,"CEMADEN","mancha",10,"moda_mancha",10,0.4,0.885,13.63,"Canhoba",1,"CEMADEN","out","uniplu_vizinhanca"
"280140501C","SE",-10.30202,-37.63828,10,"CEMADEN","transicao",9,"media_circ_ponderada",8,0.3,0.497,19.68,"Carira",1,"CEMADEN","set","uniplu_vizinhanca"
"280230401C","SE",-10.497494999999999,-37.57982,10,"CEMADEN","transicao",10,"media_circ_ponderada",11,0.4,0.554,7.79,"Frei Paulo",1,"CEMADEN","out","uniplu_vizinhanca"
"280310401C","SE",-10.117861,-37.166177000000005,10,"CEMADEN","mancha",10,"moda_mancha",10,0.4,0.797,22.15,"Itabi",1,"CEMADEN","out","uniplu_vizinhanca"
